Matrix,rt(s),cuts,slack,imbal,mb size,hash,part-count,SD
Matrices//wiki-Talk,3.54234s,1301685,100,1.05,10,4,16,0.25,"[149650, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649]"
Matrices//vas_stokes_1M,0.256986s,10086463,100,1.05,10,4,16,0.5163977794943222,"[68167, 68167, 68167, 68167, 68167, 68167, 68167, 68167, 68166, 68166, 68166, 68166, 68166, 68166, 68166, 68166]"
Matrices//marine1,4.84674s,3624764,100,1.05,10,4,16,0.0,"[25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020]"
Matrices//dgreen,35.7106s,14871478,100,1.05,10,4,16,0.4031128874149275,"[75039, 75039, 75039, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038]"
Matrices//vas_stokes_1M,0.699448s,10086463,100,1.05,10,4,16,0.5163977794943222,"[68167, 68167, 68167, 68167, 68167, 68167, 68167, 68167, 68166, 68166, 68166, 68166, 68166, 68166, 68166, 68166]"
Matrices//marine1,9.0526s,3624764,100,1.05,10,4,16,0.0,"[25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020]"
Matrices//wiki-Talk,7.94991s,1301685,100,1.05,10,4,16,0.25,"[149650, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649]"
Matrices//dgreen,38.4666s,14871478,100,1.05,10,4,16,0.4031128874149275,"[75039, 75039, 75039, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038]"
Matrices/wiki-Talk,4.84759s,1301685,100,1.05,10,4,16,0.25,"[149650, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649]"
Matrices/wiki-Talk,5.09023s,1301685,100,1.05,10,4,16,0.25,"[149650, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649]"
Matrices/wiki-Talk,4.72556s,1301685,100,1.05,10,4,16,0.25,"[149650, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649]"
Matrices/wiki-Talk,4.72249s,1301685,100,1.05,10,4,16,0.25,"[149650, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649]"
Matrices/wiki-Talk,4.73168s,1301685,100,1.05,10,4,16,0.25,"[149650, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649, 149649]"
Matrices/dgreen,43.7144s,14871479,100,1.05,10,4,16,0.4031128874149275,"[75039, 75039, 75039, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038]"
Matrices/dgreen,43.4976s,14871479,100,1.05,10,4,16,0.4031128874149275,"[75039, 75039, 75039, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038, 75038]"
Matrices/marine1,5.16401s,3624739,100,1.05,10,4,16,0.0,"[25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020]"
Matrices/marine1,5.03598s,3624739,100,1.05,10,4,16,0.0,"[25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020]"
Matrices/marine1,5.0021s,3624739,100,1.05,10,4,16,0.0,"[25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020, 25020]"
